Advantage sign intuition: A = reward - baseline
- If A > 0: increase probability of sampled action (relative to others)
- If A < 0: decrease probability of sampled action (relative to others)

step 001 | pi=(A:0.250, B:0.250, C:0.250, D:0.250) | a=D | r=0 | b=0.000 | A=0.000
step 002 | pi=(A:0.250, B:0.250, C:0.250, D:0.250) | a=B | r=0 | b=0.000 | A=0.000
step 003 | pi=(A:0.250, B:0.250, C:0.250, D:0.250) | a=C | r=1 | b=0.333 | A=1.000
step 004 | pi=(A:0.215, B:0.215, C:0.355, D:0.215) | a=C | r=1 | b=0.500 | A=0.667
step 005 | pi=(A:0.192, B:0.192, C:0.423, D:0.192) | a=C | r=1 | b=0.600 | A=0.500
step 006 | pi=(A:0.177, B:0.177, C:0.470, D:0.177) | a=D | r=0 | b=0.500 | A=-0.600
step 007 | pi=(A:0.177, B:0.177, C:0.515, D:0.131) | a=B | r=0 | b=0.429 | A=-0.500
step 008 | pi=(A:0.176, B:0.137, C:0.557, D:0.129) | a=C | r=1 | b=0.500 | A=0.571
step 009 | pi=(A:0.159, B:0.125, C:0.599, D:0.118) | a=D | r=0 | b=0.444 | A=-0.500
step 010 | pi=(A:0.152, B:0.119, C:0.642, D:0.087) | a=C | r=0 | b=0.400 | A=-0.444
step 011 | pi=(A:0.164, B:0.127, C:0.617, D:0.092) | a=C | r=1 | b=0.455 | A=0.600
step 012 | pi=(A:0.147, B:0.115, C:0.653, D:0.085) | a=C | r=1 | b=0.500 | A=0.545
step 013 | pi=(A:0.134, B:0.106, C:0.681, D:0.079) | a=C | r=1 | b=0.538 | A=0.500
step 014 | pi=(A:0.124, B:0.099, C:0.704, D:0.074) | a=C | r=1 | b=0.571 | A=0.462
step 015 | pi=(A:0.115, B:0.092, C:0.723, D:0.069) | a=C | r=0 | b=0.533 | A=-0.571
step 016 | pi=(A:0.125, B:0.100, C:0.701, D:0.074) | a=C | r=0 | b=0.500 | A=-0.533
step 017 | pi=(A:0.136, B:0.107, C:0.678, D:0.079) | a=C | r=0 | b=0.471 | A=-0.500
step 018 | pi=(A:0.147, B:0.115, C:0.654, D:0.085) | a=C | r=1 | b=0.500 | A=0.529
step 019 | pi=(A:0.134, B:0.106, C:0.681, D:0.079) | a=C | r=1 | b=0.526 | A=0.500
step 020 | pi=(A:0.124, B:0.099, C:0.704, D:0.074) | a=C | r=1 | b=0.550 | A=0.474
step 021 | pi=(A:0.115, B:0.092, C:0.723, D:0.069) | a=A | r=0 | b=0.524 | A=-0.550
step 022 | pi=(A:0.079, B:0.083, C:0.775, D:0.062) | a=C | r=1 | b=0.545 | A=0.476
step 023 | pi=(A:0.075, B:0.079, C:0.788, D:0.059) | a=C | r=0 | b=0.522 | A=-0.545
step 024 | pi=(A:0.080, B:0.084, C:0.774, D:0.062) | a=C | r=1 | b=0.542 | A=0.478
step 025 | pi=(A:0.075, B:0.079, C:0.787, D:0.059) | a=C | r=0 | b=0.520 | A=-0.542
step 026 | pi=(A:0.080, B:0.084, C:0.774, D:0.063) | a=C | r=1 | b=0.538 | A=0.480
step 027 | pi=(A:0.076, B:0.079, C:0.786, D:0.059) | a=B | r=0 | b=0.519 | A=-0.538
step 028 | pi=(A:0.066, B:0.053, C:0.830, D:0.052) | a=C | r=0 | b=0.500 | A=-0.519
step 029 | pi=(A:0.069, B:0.055, C:0.821, D:0.054) | a=B | r=0 | b=0.483 | A=-0.500
step 030 | pi=(A:0.060, B:0.037, C:0.857, D:0.046) | a=C | r=1 | b=0.500 | A=0.517
Wrote bandit logs to: runs/l1_build_slow
mean_reward=0.500
