Advantage sign intuition: A = reward - baseline
- If A > 0: increase probability of sampled action (relative to others)
- If A < 0: decrease probability of sampled action (relative to others)

step 001 | pi=(A:0.250, B:0.250, C:0.250, D:0.250) | a=D | r=0 | b=0.000 | A=0.000
step 002 | pi=(A:0.250, B:0.250, C:0.250, D:0.250) | a=B | r=0 | b=0.000 | A=0.000
step 003 | pi=(A:0.250, B:0.250, C:0.250, D:0.250) | a=C | r=1 | b=0.333 | A=1.000
step 004 | pi=(A:0.277, B:0.277, C:0.168, D:0.277) | a=D | r=0 | b=0.250 | A=-0.333
step 005 | pi=(A:0.263, B:0.263, C:0.163, D:0.311) | a=B | r=0 | b=0.200 | A=-0.250
step 006 | pi=(A:0.254, B:0.288, C:0.159, D:0.299) | a=D | r=0 | b=0.167 | A=-0.200
step 007 | pi=(A:0.247, B:0.279, C:0.156, D:0.319) | a=B | r=0 | b=0.143 | A=-0.167
step 008 | pi=(A:0.241, B:0.295, C:0.154, D:0.310) | a=C | r=1 | b=0.250 | A=0.857
step 009 | pi=(A:0.252, B:0.315, C:0.100, D:0.333) | a=D | r=0 | b=0.222 | A=-0.250
step 010 | pi=(A:0.242, B:0.301, C:0.098, D:0.359) | a=D | r=0 | b=0.200 | A=-0.222
step 011 | pi=(A:0.233, B:0.288, C:0.096, D:0.382) | a=B | r=0 | b=0.182 | A=-0.200
step 012 | pi=(A:0.228, B:0.309, C:0.095, D:0.367) | a=D | r=0 | b=0.167 | A=-0.182
step 013 | pi=(A:0.221, B:0.298, C:0.094, D:0.386) | a=B | r=1 | b=0.231 | A=0.833
step 014 | pi=(A:0.239, B:0.219, C:0.096, D:0.446) | a=B | r=0 | b=0.214 | A=-0.231
step 015 | pi=(A:0.235, B:0.242, C:0.096, D:0.428) | a=D | r=0 | b=0.200 | A=-0.214
step 016 | pi=(A:0.226, B:0.232, C:0.094, D:0.448) | a=C | r=0 | b=0.188 | A=-0.200
step 017 | pi=(A:0.225, B:0.232, C:0.105, D:0.438) | a=B | r=0 | b=0.176 | A=-0.188
step 018 | pi=(A:0.222, B:0.251, C:0.104, D:0.423) | a=C | r=1 | b=0.222 | A=0.824
step 019 | pi=(A:0.222, B:0.254, C:0.066, D:0.459) | a=D | r=0 | b=0.211 | A=-0.222
step 020 | pi=(A:0.213, B:0.243, C:0.064, D:0.480) | a=D | r=0 | b=0.200 | A=-0.211
step 021 | pi=(A:0.205, B:0.233, C:0.063, D:0.499) | a=A | r=0 | b=0.190 | A=-0.200
step 022 | pi=(A:0.225, B:0.231, C:0.063, D:0.481) | a=D | r=0 | b=0.182 | A=-0.190
step 023 | pi=(A:0.217, B:0.223, C:0.062, D:0.498) | a=B | r=0 | b=0.174 | A=-0.182
step 024 | pi=(A:0.215, B:0.241, C:0.062, D:0.481) | a=A | r=0 | b=0.167 | A=-0.174
step 025 | pi=(A:0.233, B:0.239, C:0.063, D:0.466) | a=B | r=0 | b=0.160 | A=-0.167
step 026 | pi=(A:0.230, B:0.256, C:0.063, D:0.452) | a=D | r=0 | b=0.154 | A=-0.160
step 027 | pi=(A:0.223, B:0.248, C:0.062, D:0.467) | a=A | r=0 | b=0.148 | A=-0.154
step 028 | pi=(A:0.239, B:0.245, C:0.062, D:0.454) | a=C | r=0 | b=0.143 | A=-0.148
step 029 | pi=(A:0.239, B:0.246, C:0.068, D:0.447) | a=A | r=0 | b=0.138 | A=-0.143
step 030 | pi=(A:0.254, B:0.243, C:0.068, D:0.436) | a=D | r=0 | b=0.133 | A=-0.138
Wrote bandit logs to: runs/l1_sabotage_slow_lrneg
mean_reward=0.133
